,Date,Event-Code,Event-Name,Full Name,Fighter-2-Name,W,L,D,NC,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,TKO - Doctor's Stoppage,DQ,Overturned,Could Not Continue,Other,Details,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,Finish-Time,Finish-Round,Total-Rounds,Total-Fight-Time-Sec,Referee,Belt,Women's-Bout,Interim-Bout,Strawweight,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light-Heavyweight,Heavyweight,Catch-Weight,Open-Weight,Super-Heavyweight,Superfight,Fight-Bonus,Performance-Bonus,KO-Bonus,Submission-Bonus,Knockdowns,Significant-Strike-Land,Significant-Strike-Attempt,Significant-Strike-Percent,Total-Strikes-Land,Total-Strikes-Attempt,Takedown-Success,Takedown-Land,Takedown-Percent,Submission-Attempt,Submission-Reverse,Control-Time-Sec,Head-Land,Head-Attempt,Body-Land,Body-Attempt,Leg-Land,Leg-Attempt,Distance-Land,Distance-Attempt,Clinch-Land,Clinch-Attempt,Ground-Land,Ground-Attempt,Fighter-Active-Status,Fight-City,Fight-State,Fight-Country,PPV-Sales,Height,Weight,Reach,Stance,Date of Birth,SLpM,StrAcc,SApM,StrDef,TdAvg,TdAcc,TdDef,SubAvg,Age-Days,Age,Round-1-Knockdown,Round-1-Significant-Strikes,Round-1-Significant-Strikes-Percent,Round-1-Total-Strikes,Round-1-Takedowns,Round-1-Takedown-Percent,Round-1-Submission-Attempt,Round-1-Submission-Reverse,Round-1-Control-Time,Round-1-Head,Round-1-Body,Round-1-Leg,Round-1-Distance,Round-1-Clinch,Round-1-Ground,Round-2-Knockdown,Round-2-Significant-Strikes,Round-2-Significant-Strikes-Percent,Round-2-Total-Strikes,Round-2-Takedowns,Round-2-Takedown-Percent,Round-2-Submission-Attempt,Round-2-Submission-Reverse,Round-2-Control-Time,Round-2-Head,Round-2-Body,Round-2-Leg,Round-2-Distance,Round-2-Clinch,Round-2-Ground,Round-3-Knockdown,Round-3-Significant-Strikes,Round-3-Significant-Strikes-Percent,Round-3-Total-Strikes,Round-3-Takedowns,Round-3-Takedown-Percent,Round-3-Submission-Attempt,Round-3-Submission-Reverse,Round-3-Control-Time,Round-3-Head,Round-3-Body,Round-3-Leg,Round-3-Distance,Round-3-Clinch,Round-3-Ground,Round-4-Knockdown,Round-4-Significant-Strikes,Round-4-Significant-Strikes-Percent,Round-4-Total-Strikes,Round-4-Takedowns,Round-4-Takedown-Percent,Round-4-Submission-Attempt,Round-4-Submission-Reverse,Round-4-Control-Time,Round-4-Head,Round-4-Body,Round-4-Leg,Round-4-Distance,Round-4-Clinch,Round-4-Ground,Round-5-Knockdown,Round-5-Significant-Strikes,Round-5-Significant-Strikes-Percent,Round-5-Total-Strikes,Round-5-Takedowns,Round-5-Takedown-Percent,Round-5-Submission-Attempt,Round-5-Submission-Reverse,Round-5-Control-Time,Round-5-Head,Round-5-Body,Round-5-Leg,Round-5-Distance,Round-5-Clinch,Round-5-Ground
10,2011-09-24 00:00:00,73ef22f25d0f70e2,UFC 135: Jones vs Rampage,Aaron Riley,Tony Ferguson,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Jaw Injury,,,,,,,5:00,1,3,300,Tom Johnson,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,22,11,49,0,0,,0,0,0,3,35,4,7,4,7,11,49,0,0,0,0,0,Denver, Colorado, USA,520000,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,11246,30,0,11 of 49,22,11 of 49,0 of 0,0,0,0,0:00,3 of 35,4 of 7,4 of 7,11 of 49,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
11,2002-05-10 00:00:00,9fd1f08dd4aec14a,UFC 37: High Impact,Aaron Riley,Robbie Lawler,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,Marcos Rosales,29 - 27,Nelson Hamilton,29 - 28,Jeff Mullen,29 - 27,5:00,3,3,900,John McCarthy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,130,42,93,170,0,3,0,1,0,86,18,83,18,20,19,27,31,83,24,47,0,0,0,Bossier City, Louisiana, USA,,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,7822,21,0,16 of 37,43,19 of 40,0 of 1,0,0,0,0:00,4 of 21,5 of 5,7 of 11,10 of 29,6 of 8,0 of 0,0,32 of 69,46,52 of 90,0 of 0,0,0,0,0:11,14 of 47,10 of 11,8 of 11,16 of 39,16 of 30,0 of 0,0,7 of 24,29,22 of 40,0 of 2,0,1,0,1:15,0 of 15,3 of 4,4 of 5,5 of 15,2 of 9,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
12,2008-11-15 00:00:00,a2b06ca02bca14c0,UFC 91: Couture vs Lesnar,Aaron Riley,Jorge Gurgel,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,Patricia Morse-Jarman,28 - 29,Jeff Collins,28 - 29,Cecil Peoples,28 - 29,5:00,3,3,900,Mario Yamasaki,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,98,222,44,133,261,1,1,100,0,0,147,63,172,21,27,14,23,69,181,21,29,8,12,0,Las Vegas, Nevada, USA,1010000,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,10203,27,0,33 of 67,49,33 of 67,0 of 0,0,0,0,0:00,16 of 44,11 of 12,6 of 11,30 of 63,3 of 4,0 of 0,0,32 of 78,41,42 of 89,1 of 1,100,0,0,1:06,24 of 64,1 of 5,7 of 9,23 of 61,3 of 8,6 of 9,0,33 of 77,42,58 of 105,0 of 0,0,0,0,1:21,23 of 64,9 of 10,1 of 3,16 of 57,15 of 17,2 of 3,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
13,2010-05-29 00:00:00,bfc2fc38a0e20211,UFC 114: Rampage vs Evans,Aaron Riley,Joe Brammer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,Glenn Trowbridge,27 - 30,Dave Hagen,27 - 30,Marcos Rosales,27 - 30,5:00,3,3,900,Steve Mazzagatti,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,104,44,124,184,3,8,37,0,0,306,17,68,11,15,18,21,27,81,16,19,3,4,0,Las Vegas, Nevada, USA,1050000,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,10763,29,0,18 of 41,43,39 of 62,0 of 2,0,0,0,0:54,5 of 24,6 of 8,7 of 9,10 of 32,8 of 9,0 of 0,0,11 of 29,37,40 of 60,1 of 2,50,0,0,1:52,2 of 19,1 of 2,8 of 8,10 of 26,1 of 2,0 of 1,0,17 of 34,50,45 of 62,2 of 4,50,0,0,2:20,10 of 25,4 of 5,3 of 4,7 of 23,7 of 8,3 of 3,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
14,2009-11-14 00:00:00,fa8b9e6b0c2269f8,UFC 105: Couture vs Vera,Aaron Riley,Ross Pearson,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Facial Cut,,,,,,,4:38,2,3,578,Marc Goddard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,73,20,19,77,0,2,0,0,0,19,6,56,7,11,2,6,8,55,7,18,0,0,0,Manchester, England, United Kingdom,,"5' 8""",155,69,Southpaw,1980-12-09 00:00:00,3.45,34,3.78,61,1.18,34,60,0.1,10567,28,0,5 of 35,14,8 of 38,0 of 1,0,0,0,0:00,2 of 30,2 of 3,1 of 2,4 of 31,1 of 4,0 of 0,0,10 of 38,26,11 of 39,0 of 1,0,0,0,0:19,4 of 26,5 of 8,1 of 4,4 of 24,6 of 14,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
15,2011-11-12 00:00:00,1c061eb6e29eaa0a,UFC on FOX: Velasquez vs Dos Santos,Aaron Rosa,Matt Lucas,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Point Deducted: Losing Mouthpiece by Lucas,Abe Belardo,30 - 26,Luis Cobian,30 - 26,Gene LeBell,28 - 28,5:00,3,3,900,John McCarthy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,99,59,256,311,0,0,,0,0,52,25,63,29,31,5,5,18,55,41,44,0,0,0,Anaheim, California, USA,,"6' 4""",205,77,Orthodox,1983-05-28 00:00:00,4.03,47,4.41,45,0.36,33,85,0.4,10395,28,0,21 of 39,53,61 of 83,0 of 0,0,0,0,0:03,6 of 24,14 of 14,1 of 1,5 of 22,16 of 17,0 of 0,0,10 of 21,47,80 of 93,0 of 0,0,0,0,0:00,7 of 16,1 of 3,2 of 2,3 of 12,7 of 9,0 of 0,0,28 of 39,71,115 of 135,0 of 0,0,0,0,0:49,12 of 23,14 of 14,2 of 2,10 of 21,18 of 18,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
16,2011-06-11 00:00:00,aac5ac38148f0528,UFC 131: Dos Santos vs Carwin,Aaron Rosa,Joey Beltran,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,1:26,3,3,686,Jerin Valel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,179,40,135,258,0,1,0,0,0,8,56,158,13,16,4,5,62,160,11,19,0,0,0,Vancouver, British Columbia, Canada,325000,"6' 4""",205,77,Orthodox,1983-05-28 00:00:00,4.03,47,4.41,45,0.36,33,85,0.4,10241,28,0,28 of 79,35,55 of 115,0 of 0,0,0,0,0:00,20 of 70,7 of 8,1 of 1,20 of 65,8 of 14,0 of 0,0,39 of 81,48,71 of 121,0 of 0,0,0,0,0:02,30 of 69,6 of 8,3 of 4,36 of 76,3 of 5,0 of 0,0,6 of 19,31,9 of 22,0 of 1,0,0,0,0:06,6 of 19,0 of 0,0 of 0,6 of 19,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
17,2012-03-02 00:00:00,b5ea750025697880,UFC on FX: Alves vs Kampmann,Aaron Rosa,James Te Huna,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Punches to Head In Clinch,,,,,,,2:08,1,3,128,Leon Roberts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,16,29,0,0,,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,Sydney, New South Wales, Australia,,"6' 4""",205,77,Orthodox,1983-05-28 00:00:00,4.03,47,4.41,45,0.36,33,85,0.4,10506,28,0,0 of 12,0,16 of 29,0 of 0,0,0,0,0:00,0 of 12,0 of 0,0 of 0,0 of 12,0 of 0,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
18,2009-04-01 00:00:00,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,Aaron Simpson,Tim McKenzie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,1:40,1,3,100,Mario Yamasaki,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16,27,59,27,40,1,1,100,0,0,66,11,22,3,3,2,2,3,5,2,2,11,20,0,Nashville, Tennessee, USA,,"6' 0""",170,73,Orthodox,1974-07-20 00:00:00,3.6,52,2.53,56,3.78,34,83,0.5,12674,34,1,16 of 27,59,27 of 40,1 of 1,100,0,0,1:06,11 of 22,3 of 3,2 of 2,3 of 5,2 of 2,11 of 20,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
19,2012-02-15 00:00:00,0a97691039c4bbfb,UFC on FUEL TV: Sanchez vs Ellenberger,Aaron Simpson,Ronny Markes,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,Steve Garrean,28 - 29,Sal D'amato,29 - 28,Glenn Trowbridge,28 - 29,5:00,3,3,900,Jim Axtel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,55,84,65,75,104,0,5,0,0,0,148,34,61,11,13,10,10,24,47,13,14,18,23,0,Omaha, Nebraska, USA,,"6' 0""",170,73,Orthodox,1974-07-20 00:00:00,3.6,52,2.53,56,3.78,34,83,0.5,13724,37,1,32 of 46,69,36 of 50,0 of 1,0,0,0,1:28,24 of 37,3 of 4,5 of 5,8 of 17,6 of 6,18 of 23,0,10 of 13,76,19 of 22,0 of 2,0,0,0,0:55,4 of 7,2 of 2,4 of 4,4 of 7,6 of 6,0 of 0,0,13 of 25,52,20 of 32,0 of 2,0,0,0,0:05,6 of 17,6 of 7,1 of 1,12 of 23,1 of 2,0 of 0,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
20,2010-01-11 00:00:00,58bc81376286b3d3,UFC Fight Night: Maynard vs Diaz,Aaron Simpson,Tom Lawlor,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,Jeff Blatnick,28 - 29,Doug Crosby,29 - 28,Sal D'amato,29 - 28,5:00,3,3,900,Kevin Mulhall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,36,108,33,74,149,2,6,33,0,0,268,22,85,12,20,2,3,14,66,19,37,3,5,0,Fairfax, Virginia, USA,,"6' 0""",170,73,Orthodox,1974-07-20 00:00:00,3.6,52,2.53,56,3.78,34,83,0.5,12959,35,0,13 of 40,32,21 of 48,0 of 2,0,0,0,0:02,9 of 33,3 of 5,1 of 2,7 of 30,4 of 8,2 of 2,0,16 of 41,39,26 of 52,1 of 2,50,0,0,1:25,8 of 29,7 of 11,1 of 1,5 of 22,10 of 17,1 of 2,0,7 of 27,25,27 of 49,1 of 2,50,0,0,3:01,5 of 23,2 of 4,0 of 0,2 of 14,5 of 12,0 of 1,0,,0,,,0,0,0,,,,,,,,0,,0,,,0,0,0,,,,,,,
